709723193125175300,$COST,consumers keep cautious stance
719529094652698600,$CTRP,Close $CTRP @46.16 from 43.55 entry +6%;$;+6%
39048670,$INTC,Every Reason to Be Bullish
37048093,$PANW,$PANW need anoth $1 to all time high
6207860,$JRCC,Long setup
719911771625140200,$SBUX,will be a solid long term investmen;$;#passive;$;Also added $SBUX today;$; #Income
719571433307955200,$TSLA,recall
711874651043926000,$MAR,Marriott wins new Starwood deal by raising cash portion of bid
719559500852662300,$ABBV,Time To Embrace Dividend Growth
709737853639663600,$MS,Bullshit! All #AppleStores are EMPTY in #China;$;$MS must be preparing to liquidate $AAPL
30084443,$BJRI,5-star analyst Robert Derrington from Wunderlich reiterated a BUY
711948847971307500,$AAPL,Excited;$;big +value;$;Hoping
710211237058093000,$MCD,Oil To Break Out;$;Adding Chevron
709777793798656000,$GWPH,Unusual Call Activity
719917003033681900,$QUNR,China's Tourist Bonanza Isn't Going Anywhere
39047884,$ESI,0.15
719590251891658800,$TSLA,not guaranteed
32349177,$HYG,Potential continuation Uptrend
5933426,$AMZN,longed
17892972,$MW,absolute garbage still up;$;stores TOTALLY EMPTY;$;stock mispriced
22409313,$MSTX,Buy the dip'
719895099300139000,$TSLA,weakest in todays DT watchlist
719533378698100700,$FB,We See More Reasons To Be Cautious
11685342,$DARA,breaking out
38563467,$GS,$BBRY smack down looks legitimate;$;$GS $MS;$;are playing ignorant
8472562,$BAC,in for swing trade;$;looks like want go up
719796218071621600,$AMZN,
5866181,$SPY,add short
26553639,$DVAX,Nice..
719571926285312000,$ENDP,Verified $98.95 loss in $ENDP trades
5453104,$VMW,Loving the volume
708381004180795400,$FB,hod;$;buyers stepped in
5960481,$BIDU,Clearing back above 50 day;$;next buy / add area when clears this upper trend line on volume
709780511200317400,$COST,eems to be respecting channel
708355634857529300,$CPGX,Sector Stocks Leading Today
709741154393133000,$INTC,overbought
719515248571473900,$FB,Now look at $FB live video rollout;$;Tough space.
29666346,$UNXL,kodak could pick it up before Christmas to write it off in their taxes
15981627,$AAPL,they'll whip it back down
719573068864032800,$ENDP,plus its Irish based;$; getting rid of its generic biz
5379023,$VPRT,Over 30.37
710965451677827100,$AMP,Top #NetPayoutYields
24697241,$AMRN,Got sell signal 7/1/14 still in force with target below 1.50
5853626,$GOOG,buy;$;not the end of the world
34103560,$PLUG,Future is bright
29364798,$BBRY,bulls be careful
15349675,$KGC,in at 577 added at 576 after p/b
710475186353475600,$TWTR,may be ripe for a #takeover targe
719732320404709400,$OGS,TOP 5 STOCK PICKS
35980487,$AAPL,Tomorrow morning will likely open north
710863854381563900,$HYG,Unusual Call Activity
719493174167625700,$USO,Iraq Boosts Oil Production to Record
7867073,$AAPL,Failed breakouts & failed setups;$;Limping on crutches into next week
8562689,$RA,take-over interest
719538296204959700,$INSY,$ENDP shares rattled
719498634803458000,$CSX,Buy CSX to Ride the Railroads
719524328363073500,$FB,out of $FB into $aapl
27121711,$BBBY,downgrade before ER
719881403970818000,$DB,good opportunity to BUY
719507659741872100,$INSY,$INSY lower
719535506980266000,$JPM,Nice day rally!
719881985909350400,$FB,popping up to HOD
24458298,$CROX,large players are selling
17782586,$SCTY,finally broke free from big brother's shadow?
5497092,$AAPL,buy back shares
